n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
61,996,6271,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-General,ER-General,NA,RJHAC,MAIN,ER-R
59,1885,3604,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-General,ER-General,NA,RJHAC,MAIN,ER-R
47,362,701,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - Emergency,Emergency Room,Emergency-General,ER-General,NA,VGHAC,VGH-AC,ER-V
36,145,287,Clinical Intake - Addictions,Clinical Intake - Addictions,65,34,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU-Addictions,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Withdrawal Management,Withdrawal Management Intake SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,DWITH,ADIK
36,223,1500,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - Emergency,Emergency Room,Emergency-General,ER-General,NA,VGHAC,VGHA,ER-V
34,75,217,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Royal Jubilee Main Lab,Lab Outpatient-RJH,NA,NA,Unclassified,NA,ICS,RJHL,LAB-R
31,128,243,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Referred In Specimens,Lab-Ref In,Ambulatory,Ambulatory,Laboratory,NA,IDC,RefIn,REIN
30,74,137,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,Mental Health & Addictions Services Community Care,Church Street,Integrated Mobile Crisis Response Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,CHUR,EMHS
29,579,1158,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Stabilization / Supportive Recovery,Pembroke,Sobering and Assessment Centre,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSR,PEMB,SOB
26,925,1850,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Sobering & Assessment Centre,Male Beds,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,SOB,MBED
